nct_id,trial_title,field,group,agent_a_value,agent_b_value,chosen_value,rows_affected,sample_serotype,outcome_title,notes,exclusion reason
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_manufacturer,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,Pfizer,MSD,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,not a head-to-head trial of different PCVs
NCT00427895,Study Comparing a 13-valent Pneumococcal Conjugate Vaccine With 23-valent Pneumococcal Polysaccharide Vaccine in Adults,outcome_overview_schedule,"23vPS, Cohort 1",1 dose adult,2 dose adult,,24,1,Serotype-specific Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) 1 Month After Vaccination for 12 Common Serotypes in 13vPnC/23vPS Group Relative to 23vPS Group and 23vPS/23vPS Group,,not a head-to-head trial of different PCVs
NCT00546572,"Study Evaluating The Safety, Tolerability And Immunogenicity Of A 13-Valent Pneumococcal Conjugate Vaccine (13vPnC)",outcome_overview_schedule,13vPnC,2 dose adult,1 dose adult,,12,1,Pneumococcal OPA Geometric Mean Titers (GMTs) for the 12 Common Serotypes for 13vPnC Relative to 23vPS (Vax 1 / Year 0),,not head to head
NCT00546572,"Study Evaluating The Safety, Tolerability And Immunogenicity Of A 13-Valent Pneumococcal Conjugate Vaccine (13vPnC)",outcome_overview_schedule,23vPS,2 dose adult,1 dose adult,,24,1,Pneumococcal OPA Geometric Mean Titers (GMTs) for the 12 Common Serotypes for 13vPnC Relative to 23vPS (Vax 1 / Year 0),,not head to head
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_schedule,Prevnar 1 Group,,2+1 child,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,not head to head
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_schedule,Prevnar 2 Group,,2+1 child,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_schedule,Synflorix Group,,2+1 child,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT03760146,Trial to Evaluate the Safety and Immunogenicity of a 20-valent Pneumococcal Conjugate Vaccine in Pneumococcal Vaccine-naïve Adults,outcome_overview_schedule,Cohort 1: 13vPnC/PPSV23,2 dose adult,1 dose adult,2 dose adult,13,1,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for the 13 Matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC) in Cohort 1: Evaluable 13-Matched Immunogenicity Population,,
NCT04875533,"20-valent Pneumococcal Conjugate Vaccine Safety and Immunogenicity Study in Pneumococcal Vaccine-Naïve Adults 60 Years of Age and Older in Japan, Korea, and Taiwan",outcome_overview_schedule,13vPnC/PPSV23,2 dose adult,1 dose adult,2 dose adult,13,1,Pneumococcal Opsonophagocytic Activity (OPA) Geometric Mean Titers (GMTs) for 13-matched Serotypes at 1 Month After Vaccination 1 (20vPnC or 13vPnC),,
NCT00205803,Study Evaluating Pneumococcal Vaccine in Healthy Infants,outcome_overview_time_frame_weeks,13vPnC After Toddler Dose,0,4,4,13,4,Geometric Mean Concentration in 13vPnC Group Relative to 7vPnC Group Before and After the Toddler Dose,,
NCT00205803,Study Evaluating Pneumococcal Vaccine in Healthy Infants,outcome_overview_time_frame_weeks,13vPnC Before Toddler Dose,0,4,24,13,4,Geometric Mean Concentration in 13vPnC Group Relative to 7vPnC Group Before and After the Toddler Dose,,
NCT00205803,Study Evaluating Pneumococcal Vaccine in Healthy Infants,outcome_overview_time_frame_weeks,7vPnC After Toddler Dose,0,4,4,13,4,Geometric Mean Concentration in 13vPnC Group Relative to 7vPnC Group Before and After the Toddler Dose,,
NCT00205803,Study Evaluating Pneumococcal Vaccine in Healthy Infants,outcome_overview_time_frame_weeks,7vPnC Before Toddler Dose,0,4,24,13,4,Geometric Mean Concentration in 13vPnC Group Relative to 7vPnC Group Before and After the Toddler Dose,,
NCT00708682,Study Evaluating 13-Valent Pneumococcal Conjugate Vaccine in Healthy Infants in Mexico,outcome_overview_time_frame_weeks,13vPnC,4,0,4,39,4,Geometric Mean Concentration (GMC) for Serotype-specific Pneumococcal IgG Antibody After Dose 2 of the Infant Series,,
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_time_frame_weeks,Group 1: Prevnar 13™ → Pneumovax™ 23 → Placebo,0,8,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 8",,not a head-to-head trial of different PCVs
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_time_frame_weeks,Group 1: Prevnar 13™ → Pneumovax™ 23 → Placebo,0,26,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,not a head-to-head trial of different PCVs
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_time_frame_weeks,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,0,8,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 8",,not a head-to-head trial of different PCVs
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_time_frame_weeks,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,0,26,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,not a head-to-head trial of different PCVs
NCT00366678,Study to Evaluate a 13-valent Pneumococcal Conjugate Vaccine in Infants,outcome_overview_vaccine,7vPnC/13vPnC Before Toddler Dose,PCV7,PCV13,,13,Common - Serotype 4,"Pneumococcal Geometric Mean Concentration (GMC) Before and After the Toddler Dose in the 13vPnC/13vPnC, 7vPnC/7vPnC and 7vPnC/13vPnC Groups",,uses mix of PCVs for primary and booster doses in this arm
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_vaccine,Prevnar 1 Group,Prevnar 1 Group,PCV10 (Synflorix),,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_vaccine,Prevnar 2 Group,Prevnar 2 Group,PCV13,,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT01641133,Primary Vaccination With Either Synflorix™ or Prevenar 13™ or Both Vaccines and Booster Vaccination With Synflorix™,outcome_overview_vaccine,Synflorix Group,Synflorix Group,PCV10 (Synflorix),,78,1,Antibody Concentrations Against Pneumococcal Serotypes,,"uses complex combination of different primary doses (synflorix, Prevnar) that is hard to map"
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_vaccine,Group 1: Prevnar 13™ → Pneumovax™ 23 → Placebo,PCV13,PPV23,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 30",,not a head-to-head trial of different PCVs
NCT02225587,Evaluation of the Safety and Immunogenicity of Sequential Administration of Prevnar 13™ and Pneumovax™ 23 in Healthy Participants 50 Years of Age and Older (V110-029),outcome_overview_vaccine,Group 2: Prevnar 13™ → Placebo → Pneumovax™ 23,PCV13,PPV23,,15,1,"Geometric Mean Titers to Pneumococcal Serotypes 1, 3, 4, 5, 6A, 6B, 7F, 9V, 14, 18C, 19A, 19F, 22F, 23F, and 33F at Week 26",,not a head-to-head trial of different PCVs
NCT06151288,"Safety, Tolerability, and Immunogenicity Study of a 31-Valent Pneumococcal Conjugate Vaccine (VAX-31) in Adults",outcome_overview_vaccine,PCV20,PCV20 (manufacturer: Pfizer),PCV20,PCV20,62,1,31 VAX-31 Pneumococcal Serotype-specific OPA Geometric Mean Titer,,
