nct_id,status,rows_existing,rows_agent_a,rows_agent_b,rows_matched_ab,ab_agreements,ab_categorical_disagreements,ab_numeric_disagreements,ab_selection_disagreements,rows_matched_existing,rows_extra_existing,rows_missing_existing,rows_with_field_diffs,notes
NCT03313037,NEEDS_REVIEW,40,80,80,80,54,26,0,0,0,40,80,0,40 existing rows not in new extraction. 80 new rows not in existing CSV. 
NCT03480763,NEEDS_REVIEW,112,660,660,660,600,60,0,0,0,112,660,0,112 existing rows not in new extraction. 660 new rows not in existing CSV. 
NCT03480802,NEEDS_REVIEW,112,120,120,120,120,0,0,0,0,112,120,0,112 existing rows not in new extraction. 120 new rows not in existing CSV. 
NCT03512288,NEEDS_REVIEW,160,120,120,120,120,0,0,0,0,160,120,0,160 existing rows not in new extraction. 120 new rows not in existing CSV. 
NCT03547167,NEEDS_REVIEW,112,480,480,480,420,60,0,0,0,112,480,0,112 existing rows not in new extraction. 480 new rows not in existing CSV. 
NCT03620162,NEEDS_REVIEW,166,245,245,245,241,4,0,0,0,166,245,0,166 existing rows not in new extraction. 245 new rows not in existing CSV. 
NCT03692871,NEEDS_REVIEW,84,120,120,120,0,120,0,0,0,84,120,0,84 existing rows not in new extraction. 120 new rows not in existing CSV. 
NCT03731182,NEEDS_REVIEW,56,120,120,120,120,0,0,0,0,56,120,0,56 existing rows not in new extraction. 120 new rows not in existing CSV. 
NCT03760146,NEEDS_REVIEW,26,360,360,360,360,0,0,0,0,26,360,0,26 existing rows not in new extraction. 360 new rows not in existing CSV. 
NCT03828617,NEEDS_REVIEW,42,240,240,240,240,0,0,0,0,42,240,0,42 existing rows not in new extraction. 240 new rows not in existing CSV. 
NCT03835975,NEEDS_REVIEW,42,240,240,240,0,240,0,0,0,42,240,0,42 existing rows not in new extraction. 240 new rows not in existing CSV. 
NCT03885934,NEEDS_REVIEW,84,180,180,180,150,30,0,0,0,84,180,0,84 existing rows not in new extraction. 180 new rows not in existing CSV. 
NCT03893448,NEEDS_REVIEW,90,196,196,196,0,196,0,0,4,86,192,4,86 existing rows not in new extraction. 192 new rows not in existing CSV. 4 rows with field differences. 
NCT03896477,NEEDS_REVIEW,180,450,450,450,0,450,0,0,0,180,450,0,180 existing rows not in new extraction. 450 new rows not in existing CSV. 
NCT03921424,NEEDS_REVIEW,112,120,120,120,120,0,0,0,0,112,120,0,112 existing rows not in new extraction. 120 new rows not in existing CSV. 
NCT03950622,NEEDS_REVIEW,58,188,188,188,158,30,0,0,0,58,188,0,58 existing rows not in new extraction. 188 new rows not in existing CSV. 
NCT03950856,NEEDS_REVIEW,112,300,300,300,300,0,0,0,0,112,300,0,112 existing rows not in new extraction. 300 new rows not in existing CSV. 
NCT04016714,NEEDS_REVIEW,60,180,180,180,180,0,0,0,0,60,180,0,60 existing rows not in new extraction. 180 new rows not in existing CSV. 
NCT04382326,NEEDS_REVIEW,160,362,368,362,362,0,0,6,0,160,362,0,160 existing rows not in new extraction. 362 new rows not in existing CSV. 
NCT04384107,NEEDS_REVIEW,119,150,150,150,0,150,0,0,0,119,150,0,119 existing rows not in new extraction. 150 new rows not in existing CSV. 
NCT04546425,NEEDS_REVIEW,160,528,528,528,528,0,0,0,0,160,528,0,160 existing rows not in new extraction. 528 new rows not in existing CSV. 
NCT04665050,NEEDS_REVIEW,62,178,178,178,178,0,0,0,0,62,178,0,62 existing rows not in new extraction. 178 new rows not in existing CSV. 
NCT04875533,NEEDS_REVIEW,40,160,160,160,160,0,0,0,0,40,160,0,40 existing rows not in new extraction. 160 new rows not in existing CSV. 
NCT05297578,FIELD_DIFFS,192,192,192,192,192,0,0,0,192,0,0,192,192 rows with field differences. 
NCT06151288,FIELD_DIFFS,248,248,248,248,248,0,0,0,248,0,0,248,248 rows with field differences. 
